gene_id	symbol	chr	start.pos	end.pos	pos
37676	CG9899	2R	23153854	23162077	70.209837
39365	Grip163	3L	11993274	11998138	84.336193
31743	CG10959	X	8148783	8150686	8.148783
3772012	CG17768	2L	10403197	10405203	33.945468
31642	CG3040	X	6972324	6973393	6.972324
40728	CG1213	3R	5841170	5846568	106.294316
318709	CG42726	3R	15348048	15350391	115.801194
42694	CG6985	3R	22741150	22743081	123.194296
318882	CG31681	2L	2285925	2286873	25.828196
37469	CG42365	2R	21666687	21667594	68.72267
40841	CG1105	3R	7064186	7067136	107.517332
318887	CG31693	2L	22015190	22017334	45.557461
45399	TrpRS	3R	9265027	9266904	109.718173
34140	CG7806	2L	8311399	8317011	31.85367
42836	CG31140	3R	23963180	23983232	124.416326
40044	Atg3	3L	18748687	18750483	91.091606
37986	CG30427	2R	24928747	24937477	71.98473
40316	CG10588	3L	20956934	20960660	93.299853
43390	Sid	3R	28670704	28672021	129.12385
39068	Klp67A	3L	9362636	9367046	81.705555
39277	CG6149	3L	11434695	11435476	83.777614
31638	CG32732	X	6958032	6968750	6.958032
33901	Rchy1	2L	6459015	6465669	30.001286
33785	CG18269	2L	5551838	5552756	29.094109
40170	Mi-2	3L	19882051	19910215	92.22497
37792	Upf3	2R	23893066	23894987	70.949049
33509	CG17265	2L	2999286	3016069	26.541557
33928	CG31635	2L	6632798	6649114	30.175069
42608	CG34377	3R	22308663	22324094	122.761809
5740597	RYa	2R	3647346	3647765	50.703329
35912	CG8197	2R	9060461	9061924	56.116444
4379850	CG34135	3R	8749206	8768191	109.202352
37292	RpS18	2R	20263979	20264848	67.319962
19834721	CG44405	2L	16340392	16342324	39.882663
42377	CG4459	3R	19926322	19928644	120.379468
35889	Spt	2R	8920270	8922755	55.976253
35239	CG10132	2L	19518824	19525453	43.061095
33599	Shaw	2L	3718185	3729145	27.260456
33972	ihog	2L	6945464	6948808	30.487735
32036	CG1545	X	11057545	11059619	11.057545
36039	eve	2R	9979319	9980795	57.035302
31568	mldr	X	6291303	6294177	6.291303
39533	dysc	3L	13867414	13903236	86.210333
41455	mfas	3R	11984862	11993315	112.438008
34840	Rab14	2L	14355145	14358764	37.897416
41013	pch2	3R	8559540	8561764	109.012686
42821	Pli	3R	23860162	23890052	124.313308
43440	Ctl2	3R	29123370	29128247	129.576516
4379834	stnB	X	22980722	23004648	22.980722
43374	Moca-cyp	3R	28340334	28345169	128.79348
41171	CG9492	3R	9651179	9674643	110.104325
31838	CCT2	X	9089513	9092826	9.089513
37874	ocm	2R	24186703	24195290	71.242686
39957	Edc3	3L	17525333	17529861	89.868252
37721	CG3906	2R	23511286	23512225	70.567269
39493	caps	3L	13228692	13279642	85.571611
41139	Rlb1	3R	9513327	9514827	109.966473
37207	tbrd-2	2R	19259909	19262294	66.315892
38060	CG1231	3L	356422	357664	72.699341
38755	tow	3L	6942856	6949313	79.285775
40889	Mst84Da	3R	7365850	7366262	107.818996
3346227	dpr2	2L	10917015	10964153	34.459286
41995	Pak3	3R	16445007	16453821	116.898153
32844	CG15042	X	18526862	18528266	18.526862
26067055	PRY	Y	146092	192020	134.0267
3772322	CG33687	3L	16197868	16198852	88.540787
3772345	His2A:CG33808	2L	21433862	21434337	44.976133
3771783	His2A:CG33808	2L	21433862	21434337	44.976133
3772541	His2A:CG33808	2L	21433862	21434337	44.976133
3772351	His2A:CG33808	2L	21433862	21434337	44.976133
3772632	His2A:CG33808	2L	21433862	21434337	44.976133
318855	His2A:CG33808	2L	21433862	21434337	44.976133
3772148	His2A:CG33808	2L	21433862	21434337	44.976133
3772565	His2A:CG33808	2L	21433862	21434337	44.976133
3772278	His2A:CG33808	2L	21433862	21434337	44.976133
3772448	His2A:CG33808	2L	21433862	21434337	44.976133
3772447	His2A:CG33808	2L	21433862	21434337	44.976133
3772360	His2A:CG33808	2L	21433862	21434337	44.976133
3771774	His2A:CG33808	2L	21433862	21434337	44.976133
3772505	His2A:CG33808	2L	21433862	21434337	44.976133
3771785	His2A:CG33808	2L	21433862	21434337	44.976133
3772618	His2A:CG33808	2L	21433862	21434337	44.976133
3772282	His2A:CG33808	2L	21433862	21434337	44.976133
32996	SkpC	X	19816072	19816700	19.816072
5740423	CG34184	2R	14365656	14366658	61.421639
43747	sip3	3R	31772219	31775163	132.225365
41184	CG12950	3R	9734012	9739979	110.187158
35735	phr	2R	7825289	7827319	54.881272
44021	nmd	2L	10302173	10303947	33.844444
43077	Vps33B	3R	25473490	25475756	125.926636
36290	Drep1	2R	12044612	12050172	59.100595
3772390	CG33700	3L	9514119	9525544	81.857038
32701	Chchd2	X	17149001	17150647	17.149001
39746	DNApol-delta	3L	15984322	15987815	88.327241
43325	CG5590	3R	27677522	27679013	128.130668
41493	CG4066	3R	12311353	12313119	112.764499
38531	dyl	3L	4294004	4307718	76.636923
43730	CG1815	3R	31669465	31677971	132.122611
48335	GstD2	3R	12371971	12372704	112.825117
35143	CG31752	2L	18839628	18841310	42.381899
41164	CG9427	3R	9625157	9626930	110.078303
35568	CG9410	2R	6669024	6670076	53.725007
12798569	CG43307	2L	5811574	5811925	29.353845
39623	CG3349	3L	14979620	14982432	87.322539
246644	CG30485	2R	13849882	13852983	60.905865
41821	CG3984	3R	15137148	15139007	115.590294
43531	CG15514	3R	29860055	29861494	130.313201
3354888	rl	2R	1071462	1125927	48.127445
42852	Hsp68	3R	24055080	24057310	124.508226
34193	Glt	2L	8672698	8676804	32.214969
12797917	CG43249	3L	16304282	16304662	88.647201
35154	Nak	2L	18957732	18968744	42.500003
32765	CG15814	X	17848110	17850342	17.84811
35432	CG1421	2L	21902993	21903739	45.445264
32245	fne	X	12917477	12950417	12.917477
41744	Afti	3R	14320191	14326689	114.773337
39834	CG33158	3L	16419597	16496560	88.762516
33682	Fnta	2L	4829214	4830693	28.371485
45784	ThrRS	2L	12103751	12107170	35.646022
31131	CG14810	X	1819495	1820341	1.819495
192509	CG12084	3L	1490951	1496643	73.83387
10178934	CG42828	3R	23373703	23374245	123.826849
43538	CG15515	3R	29905464	29906448	130.35861
8674051	Sfp33A2	2L	11837713	11838049	35.379984
36363	Lac	2R	12453190	12465630	59.509173
36918	CG9646	2R	17048875	17053855	64.104858
44793	abo	2L	10973443	10975293	34.515714
3772600	CG33725	3L	12482609	12486446	84.825528
31498	CG15772	X	5752249	5754041	5.752249
35251	CG13078	2L	19563930	19565158	43.106201
39697	CG7372	3L	15619901	15624130	87.96282
32437	Lsd-2	X	15069127	15076220	15.069127
38133	CG9194	3L	1235726	1242025	73.578645
35079	CG31741	2L	18084256	18086714	41.626527
39801	CG13041	3L	16318954	16319526	88.661873
36263	Sln	2R	11845324	11852324	58.901307
38174	cue	3L	1503226	1517271	73.846145
38396	CG12034	3L	3219156	3220925	75.562075
33883	Cpr	2L	6338836	6346280	29.881107
31293	N	X	3134870	3172221	3.13487
32502	CG12708	X	15675476	15677737	15.675476
35929	CG18659	2R	9123304	9132030	56.179287
35340	dia	2L	20758144	20768053	44.300415
40862	CG10055	3R	7184101	7186673	107.637247
40693	MTA1-like	3R	5638655	5648738	106.091801
246449	CG30091	2R	15680545	15682477	62.736528
35780	Cul4	2R	8102260	8106318	55.158243
246618	Opbp	2R	6653217	6655267	53.7092
48445	Acph-1	3R	29991144	29993411	130.44429
33524	FASN1	2L	3056598	3068177	26.598869
36364	dgt5	2R	12465678	12471775	59.521661
42880	twin	3R	24196893	24221965	124.650039
31722	fs(1)h	X	8037808	8061436	8.037808
26067058	pre-mod(mdg4)-G	3R	21354445	21359768	121.807591
34876	THG	2L	15008489	15009724	38.55076
37397	CG4038	2R	21095958	21097305	68.151941
35685	PIG-G	2R	7519280	7522541	54.575263
37153	CG15071	2R	18696585	18697345	65.752568
40604	CG14659	3R	4830849	4831297	105.283995
34996	Cyt-c-p	2L	16719932	16722644	40.262203
43557	CG11504	3R	29997900	29999755	130.451046
34450	Lip4	2L	10527572	10531778	34.069843
50147	CG9445	2R	6838074	6839055	53.894057
31602	CG3198	X	6668539	6673973	6.668539
19836116	CG45064	X	14875370	14882586	14.87537
117498	Gr22e	2L	1784062	1785286	25.326333
39465	CG14118	3L	12892658	12894758	85.235577
38001	zip	2R	24990570	25011965	72.046553
41789	CG14855	3R	14796305	14798474	115.249451
33751	CG14034	2L	5215189	5216542	28.75746
37434	Panx	2R	21310368	21312354	68.366351
35071	CadN2	2L	17786971	17875247	41.329242
33973	Gas41	2L	6949310	6950207	30.491581
34576	CG14930	2L	11520358	11521285	35.062629
38190	CG12105	3L	1610696	1615801	73.953615
37300	CkIIbeta2	2R	20289545	20290550	67.345528
318096	CG32579	X	16323286	16325768	16.323286
39505	flr	3L	13412843	13416453	85.755762
33109	tty	X	21328613	21339676	21.328613
48317	ttk	3R	31713867	31735392	132.167013
43384	Noa36	3R	28598059	28599288	129.051205
318838	CG33061	3L	16329795	16331227	88.672714
43628	PH4alphaNE2	3R	30510083	30512214	130.963229
37038	grh	2R	17801132	17842820	64.857115
43001	CG31109	3R	25053369	25054653	125.506515
42987	Nmnat	3R	24945237	24947400	125.398383
34045	Tep3	2L	7702805	7710690	31.245076
39244	APP-BP1	3L	11098412	11100578	83.441331
37886	nvy	2R	24275734	24291084	71.331717
45910	ort	3R	19659748	19663672	120.112894
43622	Jon99Fi	3R	30488963	30489895	130.942109
32471	Ahcy	X	15450261	15453167	15.450261
32308	CG15756	X	13534400	13536202	13.5344
42883	CG13609	3R	24227023	24228538	124.680169
33592	IM33	2L	3696218	3696658	27.238489
40019	AstC-R2	3L	18485137	18502557	90.828056
34800	CG7916	2L	13846752	13847799	37.389023
318859	CG31626	2L	21232495	21236733	44.774766
32977	Ubqn	X	19683808	19687658	19.683808
33411	CG17237	2L	2288503	2289416	25.830774
41346	CG6693	3R	11220268	11221639	111.673414
36469	CG4712	2R	13248894	13251724	60.304877
32276	CG15742	X	13257392	13258495	13.257392
33051	RunxB	X	20538497	20567097	20.538497
192535	CG32032	3L	9093053	9094856	81.435972
318970	CG31832	2L	15030928	15031750	38.573199
2768833	CG33468	2R	14606307	14606980	61.66229
32132	CkIIbeta	X	11792533	11801587	11.792533
10178943	CG42691	2R	19945731	19946814	67.001714
39896	CG13022	3L	16938330	16938952	89.281249
44672	Lk6	3R	11750931	11764457	112.204077
43006	CG11839	3R	25069927	25070914	125.523073
41568	NijC	3R	12695129	12697379	113.148275
42366	Ask1	3R	19879719	19886030	120.332865
40449	CG7133	3L	22073068	22074523	94.415987
32079	Pa1	X	11359236	11360929	11.359236
39142	Naa60	3L	9726895	9729650	82.069814
32624	Pp2B-14D	X	16554627	16560016	16.554627
38848	CG32374	3L	7540269	7541168	79.883188
31335	HIP-R	X	3789969	3792477	3.789969
318211	HIP-R	X	3789969	3792477	3.789969
33381	Or22c	2L	2054589	2057967	25.59686
2768661	Fer1	3R	7136206	7141972	107.589352
7354433	DIP-epsilon	2L	6377771	6411326	29.920042
3772276	His2B:CG33886	2L	21492700	21493294	45.034971
3772575	His2B:CG33886	2L	21492700	21493294	45.034971
3771809	His2B:CG33886	2L	21492700	21493294	45.034971
3772271	His2B:CG33886	2L	21492700	21493294	45.034971
3772099	His2B:CG33886	2L	21492700	21493294	45.034971
3772248	His2B:CG33886	2L	21492700	21493294	45.034971
3772081	His2B:CG33886	2L	21492700	21493294	45.034971
3772203	His2B:CG33886	2L	21492700	21493294	45.034971
3772058	His2B:CG33886	2L	21492700	21493294	45.034971
3771891	His2B:CG33886	2L	21492700	21493294	45.034971
3772336	His2B:CG33886	2L	21492700	21493294	45.034971
3772104	His2B:CG33886	2L	21492700	21493294	45.034971
3772013	His2B:CG33886	2L	21492700	21493294	45.034971
3772265	His2B:CG33886	2L	21492700	21493294	45.034971
3772299	His2B:CG33886	2L	21492700	21493294	45.034971
3772083	His2B:CG33886	2L	21492700	21493294	45.034971
326273	His2B:CG33886	2L	21492700	21493294	45.034971
3771957	His2B:CG33886	2L	21492700	21493294	45.034971
3772496	His2B:CG33886	2L	21492700	21493294	45.034971
3772502	His2B:CG33886	2L	21492700	21493294	45.034971
3772094	His2B:CG33886	2L	21492700	21493294	45.034971
3772166	His2B:CG33886	2L	21492700	21493294	45.034971
3772264	His2B:CG33886	2L	21492700	21493294	45.034971
326193	Alg10	3L	11164971	11166620	83.50789
47877	tws	3R	10126129	10139772	110.579275
36361	DUBAI	2R	12431447	12436577	59.48743
3772658	CG33722	3R	8244055	8248054	108.697201
36373	achi	2R	12511534	12515062	59.567517
36953	l(2)k01209	2R	17420407	17425679	64.47639
37022	Ir54a	2R	17744101	17746005	64.800084
42811	CG10214	3R	23766519	23767488	124.219665
37176	CG15099	2R	18836821	18846619	65.892804
37923	CG11414	2R	24561607	24565058	71.61759
47900	Taf5	2R	10877312	10879673	57.933295
31979	PPP4R2r	X	10478838	10481943	10.478838
41075	CG31100	3R	8995229	9003650	109.448375
34333	Trp1	2L	10009381	10013170	33.551652
36455	FLASH	2R	13206745	13210469	60.262728
12798457	CG43392	3L	22029453	22029770	94.372372
41620	CG8508	3R	13185526	13186496	113.638672
31150	mRpL16	X	1890256	1891482	1.890256
34087	pes	2L	7986786	7994184	31.529057
43437	CG11876	3R	29113071	29116197	129.566217
246389	CG30010	2R	9863564	9864576	56.919547
37295	CG11788	2R	20274597	20276142	67.33058
117364	Hex-t1	3R	26449079	26450585	126.902225
35121	msl-1	2L	18683720	18688800	42.225991
32523	mRpL3	X	15761248	15762663	15.761248
36581	SmydA-1	2R	14243778	14246066	61.299761
34111	CG8498	2L	8161796	8162452	31.704067
32252	CG12715	X	13052847	13055328	13.052847
32548	MSBP	X	15887567	15890109	15.887567
8674033	CG42456	3L	3319555	3322489	75.662474
37553	CG11298	2R	22348307	22348875	69.40429
3346226	ppk13	2L	21086790	21088751	44.629061
39770	elg1	3L	16132028	16136691	88.474947
42364	Arc42	3R	19877737	19879309	120.330883
37415	Pu	2R	21175315	21182608	68.231298
41373	CG5276	3R	11431738	11433543	111.884884
42647	Pfdn5	3R	22487039	22488110	122.940185
140439	Tre1	X	5673830	5679977	5.67383
36893	CG6429	2R	16873015	16873755	63.928998
36913	CG8963	2R	17016226	17019522	64.072209
40677	rev7	3R	5588873	5589703	106.042019
41941	Rbf2	3R	15965446	15968138	116.418592
33503	CG3165	2L	2977122	2978500	26.519393
40339	CG10512	3L	21202920	21208092	93.545839
40331	ICA69	3L	21131446	21133310	93.474365
14462454	CG44038	3R	12260969	12261230	112.714115
31411	CG2871	X	4775984	4777375	4.775984
31480	Sirt4	X	5664628	5665940	5.664628
36588	conv	2R	14270729	14275495	61.326712
5740788	CG34382	3L	9878985	9884493	82.221904
3772180	Sxl	X	7074550	7098053	7.07455
32005	stx	X	10711163	10744943	10.711163
35674	p47	2R	7465018	7466759	54.521001
34557	Ca-beta	2L	11156118	11203544	34.698389
39476	CG11267	3L	13016050	13016903	85.358969
317964	CG32299	3L	2389583	2390989	74.732502
31698	p115	X	7894031	7896991	7.894031
38622	Lkr	3L	5512421	5529341	77.85534
38869	CG13685	3L	7747344	7750552	80.090263
5740851	CG41284	3L	26298455	26305572	98.641374
42888	beta-PheRS	3R	24250460	24252679	124.703606
36730	CG8207	2R	15677218	15678956	62.733201
40225	gogo	3L	20268859	20295133	92.611778
43004	PQBP1	3R	25065791	25066718	125.518937
33675	CG15631	2L	4732413	4734458	28.274684
33637	CG15429	2L	4352975	4354034	27.895246
36167	BBS4	2R	11135923	11139315	58.191906
318151	CG32681	X	10376651	10381352	10.376651
43177	CG31324	3R	26106868	26130674	126.560014
246493	prom	2R	24415410	24428387	71.471393
8674015	CG42465	2L	3700195	3700658	27.242466
42781	CG16723	3R	23593625	23596273	124.046771
44355	drl	2L	19190342	19208621	42.732613
31706	Ykt6	X	7920409	7921966	7.920409
246451	COX6AL	2R	15944028	15944567	63.000011
43389	CG14062	3R	28641585	28642891	129.094731
33975	CG13775	2L	6954357	6956950	30.496628
5740847	CG17636	X	124370	126714	0.12437
35292	pr	2L	20073719	20075458	43.61599
59167	OS9	2L	19965664	19966510	43.507935
10178859	CG42728	3L	15527620	15528196	87.870539
35597	CG9447	2R	6872996	6875819	53.928979
38966	CG43163	3L	8472807	8507146	80.815726
41524	pps	3R	12413828	12421251	112.866974
32052	CG15202	X	11142541	11143755	11.142541
40335	CG42337	3L	21183313	21193363	93.526232
39264	CG14141	3L	11201351	11202158	83.54427
43833	toy	4	989725	1007922	133.522202
37977	CG16896	2R	24871407	24874912	71.92739
39275	CG11726	3L	11394690	11395673	83.737609
36033	Pal1	2R	9959549	9963853	57.015532
19835258	CG45676	3R	11418885	11419295	111.872031
39734	GXIVsPLA2	3L	15955096	15956465	88.298015
44381	Tim17b2	2L	15484729	15485545	39.027
31348	CG2941	X	3936517	3940582	3.936517
35295	CG10747	2L	20089636	20091348	43.631907
34524	aub	2L	10997819	11001476	34.54009
34829	CG46301	2L	14104090	14160587	37.646361
26067067	PRAS40	2R	14481187	14497312	61.53717
33431	CG9886	2L	2420830	2424647	25.963101
3355165	CG40485	X	22960609	22962360	22.960609
42259	CG14298	3R	18875528	18877204	119.328674
38988	Zasp66	3L	8624371	8638813	80.96729
32414	CG9521	X	14851005	14853269	14.851005
31786	Cp7Fc	X	8477117	8478320	8.477117
42545	CG7956	3R	21520928	21528598	121.974074
39437	CG4069	3L	12535426	12537315	84.878345
31310	Myc	X	3373159	3391697	3.373159
41921	cv-d	3R	15844466	15853581	116.297612
8674048	Sfp36F	2L	18292522	18292833	41.834793
326222	CG32564	X	17206407	17207854	17.206407
42625	CG5379	3R	22386489	22389714	122.839635
32673	CG13004	X	16826681	16835520	16.826681
33244	CG2839	2L	625652	628200	24.167923
45883	kar	3R	12682186	12689367	113.135332
8674043	Sfp77F	3L	20896268	20897417	93.239187
41102	Ibf2	3R	9257727	9258501	109.710873
3885638	CG33986	3L	15524325	15525253	87.867244
31835	APC4	X	9082931	9085867	9.082931
34662	Oatp33Eb	2L	12448484	12452047	35.990755
34390	CG4995	2L	10322476	10324990	33.864747
36568	CG18324	2R	14168786	14170233	61.224769
12798551	CG43145	2L	3701826	3702248	27.244097
31036	CG11663	X	894482	895200	0.894482
32318	tth	X	13613193	13616586	13.613193
3772489	His3:CG33857	2L	21524952	21525480	45.067223
3771723	His3:CG33857	2L	21524952	21525480	45.067223
3772032	His3:CG33857	2L	21524952	21525480	45.067223
3771771	His3:CG33857	2L	21524952	21525480	45.067223
3772517	His3:CG33857	2L	21524952	21525480	45.067223
3772370	His3:CG33857	2L	21524952	21525480	45.067223
3772421	His3:CG33857	2L	21524952	21525480	45.067223
3772607	His3:CG33857	2L	21524952	21525480	45.067223
3772173	His3:CG33857	2L	21524952	21525480	45.067223
3771729	His3:CG33857	2L	21524952	21525480	45.067223
3772619	His3:CG33857	2L	21524952	21525480	45.067223
318847	His3:CG33857	2L	21524952	21525480	45.067223
3772552	His3:CG33857	2L	21524952	21525480	45.067223
3772231	His3:CG33857	2L	21524952	21525480	45.067223
3772518	His3:CG33857	2L	21524952	21525480	45.067223
3772374	His3:CG33857	2L	21524952	21525480	45.067223
3771792	His3:CG33857	2L	21524952	21525480	45.067223
3772191	His3:CG33857	2L	21524952	21525480	45.067223
3772198	His3:CG33857	2L	21524952	21525480	45.067223
3772163	His3:CG33857	2L	21524952	21525480	45.067223
3772149	His3:CG33857	2L	21524952	21525480	45.067223
3772189	His3:CG33857	2L	21524952	21525480	45.067223
3771959	His3:CG33857	2L	21524952	21525480	45.067223
37416	CG4286	2R	21177754	21178636	68.233737
34865	CG15278	2L	14874376	14876333	38.416647
42064	GckIII	3R	17085513	17087988	117.538659
41124	betaTub85D	3R	9408383	9410282	109.861529
32725	CG8611	X	17413267	17422145	17.413267
44096	wit	3L	4064152	4071717	76.407071
39565	CG8100	3L	14083615	14086421	86.426534
31111	Mur2B	X	1523554	1668788	1.523554
41948	CG10264	3R	16043498	16044832	116.496644
39002	Prm	3L	8732858	8745310	81.075777
31388	CG11444	X	4553117	4554398	4.553117
38407	ZnT63C	3L	3303708	3314009	75.646627
49992	CG15219	2L	22104891	22105512	45.647162
37052	CG10910	2R	18020268	18022406	65.076251
37772	CG5549	2R	23820354	23839864	70.876337
42510	meigo	3R	21138270	21140365	121.591416
32065	CG15198	X	11248236	11248885	11.248236
14462799	CG43731	2L	19102044	19102909	42.644315
12797894	CG43063	3R	13086224	13086761	113.53937
40675	CRMP	3R	5571108	5579189	106.024254
42350	GluClalpha	3R	19730715	19775231	120.183861
33040	Obp19d	X	20419613	20420979	20.419613
31687	CG1402	X	7826197	7842679	7.826197
31193	Cyp4ae1	X	2179007	2180998	2.179007
42669	CG31156	3R	22608670	22613656	123.061816
3355111	FASN3	3L	25752859	25762779	98.095778
34409	gny	2L	10380103	10382864	33.922374
41361	KP78b	3R	11346294	11353131	111.79944
36135	CG7637	2R	10810556	10810936	57.866539
34589	CG14932	2L	11789919	11791011	35.33219
34553	Gyc32E	2L	11138759	11149101	34.68103
32478	Grip128	X	15468281	15472119	15.468281
3771941	His4:CG33899	2L	21458853	21459265	45.001124
3772254	His4:CG33899	2L	21458853	21459265	45.001124
3772325	His4:CG33899	2L	21458853	21459265	45.001124
3772319	His4:CG33899	2L	21458853	21459265	45.001124
3772113	His4:CG33899	2L	21458853	21459265	45.001124
3772129	His4:CG33899	2L	21458853	21459265	45.001124
3771935	His4:CG33899	2L	21458853	21459265	45.001124
3771854	His4:CG33899	2L	21458853	21459265	45.001124
3772519	His4:CG33899	2L	21458853	21459265	45.001124
3772211	His4:CG33899	2L	21458853	21459265	45.001124
41773	His4:CG33899	2L	21458853	21459265	45.001124
3772509	His4:CG33899	2L	21458853	21459265	45.001124
3772666	His4:CG33899	2L	21458853	21459265	45.001124
3772314	His4:CG33899	2L	21458853	21459265	45.001124
3771908	His4:CG33899	2L	21458853	21459265	45.001124
3771893	His4:CG33899	2L	21458853	21459265	45.001124
3772317	His4:CG33899	2L	21458853	21459265	45.001124
3771947	His4:CG33899	2L	21458853	21459265	45.001124
3771938	His4:CG33899	2L	21458853	21459265	45.001124
3772708	His4:CG33899	2L	21458853	21459265	45.001124
3772172	His4:CG33899	2L	21458853	21459265	45.001124
318846	His4:CG33899	2L	21458853	21459265	45.001124
3772096	His4:CG33899	2L	21458853	21459265	45.001124
318169	CG32719	X	7508651	7547992	7.508651
36273	Zip48C	2R	11899517	11901394	58.9555
40349	ppl	3L	21280491	21281506	93.62341
19835727	CG44247	2R	24876691	24881221	71.932674
5740672	CG34351	2L	4694721	4722465	28.236992
10178870	CG42727	3R	15348048	15350391	115.801194
3771879	His1:CG33846	2L	21506684	21507706	45.048955
3772665	His1:CG33846	2L	21506684	21507706	45.048955
3771910	His1:CG33846	2L	21506684	21507706	45.048955
3771838	His1:CG33846	2L	21506684	21507706	45.048955
3772225	His1:CG33846	2L	21506684	21507706	45.048955
3772702	His1:CG33846	2L	21506684	21507706	45.048955
3772715	His1:CG33846	2L	21506684	21507706	45.048955
3772077	His1:CG33846	2L	21506684	21507706	45.048955
3771803	His1:CG33846	2L	21506684	21507706	45.048955
3771981	His1:CG33846	2L	21506684	21507706	45.048955
3771816	His1:CG33846	2L	21506684	21507706	45.048955
318854	His1:CG33846	2L	21506684	21507706	45.048955
3772409	His1:CG33846	2L	21506684	21507706	45.048955
3771912	His1:CG33846	2L	21506684	21507706	45.048955
3771818	His1:CG33846	2L	21506684	21507706	45.048955
3772004	His1:CG33846	2L	21506684	21507706	45.048955
3772075	His1:CG33846	2L	21506684	21507706	45.048955
3771946	CG13175	2R	12182639	12185506	59.238622
34351	Ripalpha	2L	10199401	10200974	33.741672
246462	CG30110	2R	17880194	17882245	64.936177
36349	Cpr49Ad	2R	12390896	12391699	59.446879
43188	ppk15	3R	26401909	26403656	126.855055
48440	Kebab	2L	2045494	2048054	25.587765
32440	CG15027	X	15085159	15085827	15.085159
40929	ArgRS-m	3R	7887045	7890150	108.340191
34934	Tektin-A	2L	15854126	15856450	39.396397
37199	CG15118	2R	19133727	19137169	66.18971
19835236	CG45154	X	21146281	21147041	21.146281
33068	I-3	X	20881814	20882626	20.881814
42734	Rassf	3R	23114014	23117931	123.56716
38868	Snmp2	3L	7733250	7743041	80.076169
35101	Ntf-2r	2L	18454649	18455419	41.99692
41932	CG45105	3R	15910372	15918007	116.363518
39048	teq	3L	9074643	9092131	81.417562
5740861	CG34234	2R	12486719	12487378	59.542702
40093	nes	3L	19257282	19260679	91.600201
34160	CG13384	2L	8384455	8388804	31.926726
36816	CG7755	2R	16281630	16282946	63.337613
246532	CG30289	2R	21520413	21521848	68.576396
41630	CG15888	3R	13284946	13286529	113.738092
38402	ckd	3L	3257878	3268184	75.600797
42944	tok	3R	24719697	24749125	125.172843
38457	Sc2	3L	3903492	3905035	76.246411
