gene_id	symbol	locus_id	chr	start.pos	end.pos	pos
852412	YBR115C	YBR115C	II	469748	473926	0.699966
852721	YGL156W	YGL156W	VII	210416	213667	3.949406
850419	YCR052W	YCR052W	III	214994	216445	1.258396
852869	YGL015C	YGL015C	VII	465043	465435	4.204033
854381	YOR206W	YOR206W	XV	727512	729644	10.759481
855116	YMR091C	YMR091C	XIII	450058	451365	8.773263
853569	YJR105W	YJR105W	X	623581	624603	6.456042
856387	YHL002W	YHL002W	VIII	102612	103970	4.932542
850464	YCR100C	YCR100C	III	301271	302221	1.344673
855884	YPL217C	YPL217C	XVI	139620	143171	11.26288
854519	YOR341W	YOR341W	XV	960987	965981	10.992956
851338	YDL189W	YDL189W	IV	122216	123589	1.482238
856784	YER056C-A	YER056C-A	V	269423	270185	3.161378
855218	YMR180C	YMR180C	XIII	622251	623213	8.945456
855626	YNL097C	YNL097C	XIV	441366	442358	9.689002
852121	YDR508C	YDR508C	IV	1466453	1468444	2.826475
856441	YHR045W	YHR045W	VIII	195551	197233	5.025481
854988	YML020W	YML020W	XIII	231149	233143	8.554354
853166	YGR251W	YGR251W	VII	995639	996229	4.734629
852319	YBR031W	YBR031W	II	300166	301254	0.530384
852073	YDR462W	YDR462W	IV	1386073	1386516	2.746095
856261	YPR139C	YPR139C	XVI	813156	814058	11.936416
856298	YPR169W	YPR169W	XVI	878690	880168	12.00195
855818	YPL257W	YPL257W	XVI	63279	63860	11.186539
854065	YOL088C	YOL088C	XV	153912	154745	10.185881
850764	YLR075W	YLR075W	XII	282927	283592	7.527955
854886	YML088W	YML088W	XIII	92235	94241	8.41544
854805	YIL010W	YIL010W	IX	334882	335529	5.727455
851755	YDR175C	YDR175C	IV	813193	814152	2.173215
850741	YLR052W	YLR052W	XII	247201	247953	7.492229
853873	YKR004C	YKR004C	XI	446799	448036	7.025011
855585	YNL137C	YNL137C	XIV	368595	370055	9.616231
855385	YNL331C	YNL331C	XIV	16118	17248	9.263754
850518	YFL026W	YFL026W	VI	82580	83875	3.551409
853593	YJR129C	YJR129C	X	664000	665019	6.496461
853967	YKR092C	YKR092C	XI	612665	613885	7.190877
851767	YDR186C	YDR186C	IV	832859	835492	2.192881
854898	YML077W	YML077W	XIII	111865	112344	8.43507
856643	YEL067C	YEL067C	V	26189	26776	2.918144
853302	YJL139C	YJL139C	X	151713	152999	5.984174
853868	YKL002W	YKL002W	XI	437778	438544	7.01599
853071	YGR162W	YGR162W	VII	824059	826917	4.563049
1466410	YLR159C-A	YLR159C-A	XII	485711	485842	7.730739
1466411	YLR159C-A	YLR159C-A	XII	485711	485842	7.730739
1466415	YLR159C-A	YLR159C-A	XII	485711	485842	7.730739
1466414	YLR159C-A	YLR159C-A	XII	485711	485842	7.730739
851727	YDR150W	YDR150W	IV	755628	763874	2.11565
852026	YEL054C	YEL054C	V	52721	53218	2.944676
856656	YEL054C	YEL054C	V	52721	53218	2.944676
856098	YPL009C	YPL009C	XVI	535820	538936	11.65908
850712	YLR025W	YLR025W	XII	194452	195174	7.43948
851830	YDR243C	YDR243C	IV	948518	950284	2.30854
852888	YGR005C	YGR005C	VII	504657	505859	4.243647
854331	YOR160W	YOR160W	XV	633839	636757	10.665808
850738	YLR049C	YLR049C	XII	243886	245172	7.488914
851017	YLR308W	YLR308W	XII	747937	748875	7.992965
854251	YOR084W	YOR084W	XV	480587	481750	10.512556
852294	YNL030W	YNL030W	XIV	576727	577038	9.824363
855701	YNL030W	YNL030W	XIV	576727	577038	9.824363
856484	YHR084W	YHR084W	VIII	274174	276240	5.104104
850719	YLR032W	YLR032W	XII	204991	208500	7.450019
854204	YOR039W	YOR039W	XV	405768	406544	10.437737
852543	YBR241C	YBR241C	II	702589	704055	0.932807
856664	YEL047C	YEL047C	V	65385	66797	2.95734
854914	YML125C	YML125C	XIII	20761	21699	8.343966
854437	YOR264W	YOR264W	XV	818866	820158	10.850835
855919	YPL183C	YPL183C	XVI	199495	202536	11.322755
855420	YNL297C	YNL297C	XIV	71673	76583	9.319309
856178	YPR065W	YPR065W	XVI	679693	680799	11.802953
855621	YNL102W	YNL102W	XIV	430087	434493	9.677723
850471	YCR107W	YCR107W	III	313890	314981	1.357292
855368	YMR318C	YMR318C	XIII	911061	912143	9.234266
856144	YPR032W	YPR032W	XVI	634123	637224	11.757383
854456	YOR281C	YOR281C	XV	846269	847129	10.878238
855142	YMR115W	YMR115W	XIII	497704	499209	8.820909
850584	YFR027W	YFR027W	VI	207452	208297	3.676281
855308	YMR266W	YMR266W	XIII	798518	801379	9.121723
851346	YDL182W	YDL182W	IV	133437	134723	1.493459
856889	YER146W	YER146W	V	462585	462866	3.35454
850953	YLR251W	YLR251W	XII	641464	642057	7.886492
852480	YBR182C	YBR182C	II	593506	594864	0.823724
851964	YDR362C	YDR362C	IV	1196679	1198697	2.556701
855760	YNR026C	YNR026C	XIV	673274	674689	9.92091
856527	YHR126C	YHR126C	VIII	359702	360181	5.189632
856324	YPR194C	YPR194C	XVI	924304	926937	12.047564
852716	YGL160W	YGL160W	VII	200561	202273	3.939551
851260	YAL003W	YAL003W	I	142174	143160	0.142174
856021	YPL084W	YPL084W	XVI	394038	396572	11.517298
855570	YNL152W	YNL152W	XIV	346313	347542	9.593949
850353	YCL002C	YCL002C	III	110808	111675	1.15421
854689	YIL117C	YIL117C	IX	140613	141569	5.533186
852243	YBL037W	YBL037W	II	147209	150286	0.377427
855582	YNL140C	YNL140C	XIV	360917	361486	9.608553
851818	YDR232W	YDR232W	IV	927452	929098	2.287474
853383	YJL062W-A	YJL062W-A	X	316723	316980	6.149184
852307	YBR019C	YBR019C	II	276253	278352	0.506471
852310	YBR022W	YBR022W	II	283738	284271	0.513956
851736	YDR158W	YDR158W	IV	770357	771454	2.130379
854405	YOR230W	YOR230W	XV	770800	772113	10.802769
855624	YNL099C	YNL099C	XIV	438567	439283	9.686203
853681	YKL173W	YKL173W	XI	122517	125543	6.700729
856904	YER159C	YER159C	V	491530	491958	3.383485
854946	YML057W	YML057W	XIII	160180	161994	8.483385
854949	YML055W	YML055W	XIII	164790	165326	8.487995
852049	YDR439W	YDR439W	IV	1339676	1340719	2.699698
853334	YJL110C	YJL110C	X	209922	211577	6.042383
855539	YNL182C	YNL182C	XIV	295960	297627	9.543596
853550	YJR088C	YJR088C	X	586495	587373	6.418956
855131	YMR105C	YMR105C	XIII	475897	477606	8.799102
854315	YOR144C	YOR144C	XV	602717	605092	10.634686
856216	YPR101W	YPR101W	XVI	730492	731019	11.853752
855923	YPL179W	YPL179W	XVI	208157	209806	11.331417
850334	YCL024W	YCL024W	III	79162	82275	1.122564
855541	YNL180C	YNL180C	XIV	299654	300649	9.54729
851032	YLR321C	YLR321C	XII	776584	777864	8.021612
855877	YPL224C	YPL224C	XVI	126634	128088	11.249894
854073	YOL081W	YOL081W	XV	171070	180309	10.203039
855732	YNR001C	YNR001C	XIV	629622	631061	9.877258
854105	YOL052C	YOL052C	XV	232446	233636	10.264415
854459	YOR285W	YOR285W	XV	849635	850054	10.881604
854761	YIL050W	YIL050W	IX	258913	259770	5.651486
855310	YMR268C	YMR268C	XIII	802888	804222	9.126093
851321	YDL206W	YDL206W	IV	90176	92464	1.450198
851037	YLR327C	YLR327C	XII	783127	783387	8.028155
852416	YBR119W	YBR119W	II	479338	480323	0.709556
851703	YDR125C	YDR125C	IV	701397	702758	2.061419
850613	YFR052W	YFR052W	VI	252505	253329	3.721334
852661	YGL211W	YGL211W	VII	92512	93591	3.831502
854699	YIL107C	YIL107C	IX	163278	165761	5.555851
853217	YJL213W	YJL213W	X	32163	33158	5.864624
856334	YPR204W	YPR204W	XVI	944603	947701	12.067863
852259	YBL022C	YBL022C	II	177874	181275	0.408092
854656	YIL150C	YIL150C	IX	61013	62728	5.453586
856218	YPR103W	YPR103W	XVI	732349	733212	11.855609
853042	YGR141W	YGR141W	VII	770569	771972	4.509559
854641	YIL165C	YIL165C	IX	33718	34077	5.426291
851938	YDR338C	YDR338C	IV	1147379	1149466	2.507401
853804	YKL061W	YKL061W	XI	325771	326112	6.903983
854223	YOR058C	YOR058C	XV	433688	436345	10.465657
856278	YPR155C	YPR155C	XVI	835563	837413	11.958823
853504	YJR046W	YJR046W	X	522048	523862	6.354509
856816	YER084W	YER084W	V	327065	327451	3.21902
854444	YOR270C	YOR270C	XV	828052	830574	10.860021
852146	YDR533C	YDR533C	IV	1501447	1502160	2.861469
854011	YOL154W	YOL154W	XV	34658	35407	10.066627
854282	YOR115C	YOR115C	XV	538659	539465	10.570628
851865	YDR272W	YDR272W	IV	1009010	1009834	2.369032
850949	YLR247C	YLR247C	XII	628684	633354	7.873712
856932	YER183C	YER183C	V	553334	553969	3.445289
853718	YKL139W	YKL139W	XI	182958	184544	6.76117
854159	YOL003C	YOL003C	XV	321858	322994	10.353827
855633	YNL091W	YNL091W	XIV	452408	456130	9.700044
852782	YGL097W	YGL097W	VII	321782	323230	4.060772
852918	YGR030C	YGR030C	VII	545681	546157	4.284671
855565	YNL157W	YNL157W	XIV	340352	340858	9.587988
851778	YDR197W	YDR197W	IV	851228	852397	2.21125
855401	YNL315C	YNL315C	XIV	43324	44280	9.29096
852125	YDR512C	YDR512C	IV	1470500	1471063	2.830522
854432	YOR258W	YOR258W	XV	811671	812324	10.84364
852100	YDR489W	YDR489W	IV	1431012	1431896	2.791034
856650	YEL059C-A	YEL059C-A	V	42400	42624	2.934355
854050	YOL103W	YOL103W	XV	124001	125830	10.15597
850864	YLR167W	YLR167W	XII	498947	499405	7.743975
850917	YLR220W	YLR220W	XII	576825	577793	7.821853
851177	YLR455W	YLR455W	XII	1053629	1054543	8.298657
853433	YJL020C	YJL020C	X	398937	402410	6.231398
853674	YKL180W	YKL180W	XI	109269	110129	6.687481
854390	YOR215C	YOR215C	XV	746725	747282	10.778694
851893	YDR299W	YDR299W	IV	1059627	1061231	2.419649
853866	YKL004W	YKL004W	XI	435580	436785	7.013792
851547	YDL015C	YDL015C	IV	426002	426934	1.786024
851898	YDR304C	YDR304C	IV	1071880	1072557	2.431902
855500	YNL221C	YNL221C	XIV	231068	233695	9.478704
856613	YHR206W	YHR206W	VIII	512732	514600	5.342662
854058	YOL095C	YOL095C	XV	139227	141347	10.171196
855832	YPL244C	YPL244C	XVI	87014	88033	11.210274
851246	YAL053W	YAL053W	I	45899	48250	0.045899
851347	YDL181W	YDL181W	IV	135179	135436	1.495201
853139	YGR224W	YGR224W	VII	942806	944647	4.681796
856497	YHR097C	YHR097C	VIII	297385	298609	5.127315
850783	YLR094C	YLR094C	XII	327730	329238	7.572758
856263	YPR141C	YPR141C	XVI	815734	817923	11.938994
853043	YGR142W	YGR142W	VII	772454	773686	4.511444
854871	YML101C	YML101C	XIII	69735	70088	8.39294
850480	YFL064C	YFL064C	VI	3322	3846	3.472151
854091	YOL063C	YOL063C	XV	207392	210265	10.239361
855788	YNR052C	YNR052C	XIV	719346	720647	9.966982
850424	YCR060W	YCR060W	III	224399	224734	1.267801
853098	YGR186W	YGR186W	VII	867774	869981	4.606764
855664	YNL061W	YNL061W	XIV	510540	512396	9.758176
851973	YDR367W	YDR367W	IV	1212848	1213614	2.57287
856919	YER172C	YER172C	V	529530	536021	3.421485
856395	YHR005C-A	YHR005C-A	VIII	115620	115901	4.94555
850434	YCR071C	YCR071C	III	240103	240543	1.283505
854571	YOR389W	YOR389W	XV	1074213	1076087	11.106182
854596	Q0065	Q0065	M	13818	21935	12.085144
853093	YGR181W	YGR181W	VII	858287	858604	4.597277
850977	YLR272C	YLR272C	XII	683672	687202	7.9287
853714	YKL143W	YKL143W	XI	176781	178172	6.754993
855436	YNL284C	YNL284C	XIV	103134	104102	9.35077
1466417	YLR264C-A	YLR264C-A	XII	673828	673944	7.918856
851658	YDR085C	YDR085C	IV	614288	616150	1.97431
854766	YIL045W	YIL045W	IX	271161	272777	5.663734
855025	YMR012W	YMR012W	XIII	291134	294967	8.614339
853252	YJL187C	YJL187C	X	76803	79262	5.909264
850364	YCR007C	YCR007C	III	126011	126730	1.169413
854406	YOR231W	YOR231W	XV	772601	774127	10.80457
853595	YJR131W	YJR131W	X	667644	669293	6.500105
851461	YDL097C	YDL097C	IV	285391	286695	1.645413
856398	YHR007C	YHR007C	VIII	120091	121683	4.950021
1466534	YHR214C-D	YHR214C-D	VIII	550648	550941	5.380578
854680	YIL126W	YIL126W	IX	117992	122071	5.510565
852799	YGL081W	YGL081W	VII	357377	358339	4.096367
855242	YMR202W	YMR202W	XIII	667537	668205	8.990742
854186	YOR021C	YOR021C	XV	372798	373439	10.404767
852973	YGR082W	YGR082W	VII	644044	644595	4.383034
856279	YPR156C	YPR156C	XVI	837909	839777	11.961169
855107	YMR083W	YMR083W	XIII	434788	435915	8.757993
855836	YPL240C	YPL240C	XVI	96496	98625	11.219756
855776	YNR040W	YNR040W	XIV	699690	700460	9.947326
856318	YPR188C	YPR188C	XVI	911988	912479	12.035248
1466531	YHR212W-A	YHR212W-A	VIII	538742	538945	5.368672
852856	YGL028C	YGL028C	VII	441281	442909	4.180271
851416	YDL139C	YDL139C	IV	211375	212046	1.571397
853308	YJL133W	YJL133W	X	160619	161563	5.99308
853803	YKL062W	YKL062W	XI	323228	325120	6.90144
850536	YFL011W	YFL011W	VI	112345	113985	3.581174
855993	YPL111W	YPL111W	XVI	339944	340945	11.463204
856590	YHR184W	YHR184W	VIII	472744	474459	5.302674
854287	YOR120W	YOR120W	XV	551114	552052	10.583083
856236	YPR119W	YPR119W	XVI	771653	773128	11.894913
855475	YNL246W	YNL246W	XIV	185460	186349	9.433096
850572	YFR017C	YFR017C	VI	182274	182861	3.651103
2746859	YCL012C	YCL012C	III	101317	101788	1.144719
852545	YBR243C	YBR243C	II	705447	706793	0.935665
852863	YGL021W	YGL021W	VII	454785	457067	4.193775
851781	YDR200C	YDR200C	IV	854279	856093	2.214301
852536	YBR234C	YBR234C	II	685438	686592	0.915656
853513	YJR053W	YJR053W	X	534027	535751	6.366488
851772	YDR191W	YDR191W	IV	842337	843449	2.202359
852062	YDR451C	YDR451C	IV	1361120	1362181	2.721142
852768	YGL110C	YGL110C	VII	301537	303411	4.040527
853502	YJR044C	YJR044C	X	518763	519185	6.351224
853077	YGR167W	YGR167W	VII	832456	833157	4.571446
852867	YGL017W	YGL017W	VII	459854	461365	4.198844
850878	YLR181C	YLR181C	XII	516678	517670	7.761706
852477	YBR179C	YBR179C	II	586547	589114	0.816765
852549	YBR247C	YBR247C	II	713004	714455	0.943222
854119	YOL038W	YOL038W	XV	255337	256101	10.287306
854188	YOR023C	YOR023C	XV	376012	377712	10.407981
853563	YJR100C	YJR100C	X	616351	617334	6.448812
853996	YOL124C	YOL124C	XV	85456	86757	10.117425
854387	YOR212W	YOR212W	XV	742910	744181	10.774879
852080	YDR469W	YDR469W	IV	1399015	1399542	2.759037
855031	YMR017W	YMR017W	XIII	307489	308682	8.630694
852081	YDR470C	YDR470C	IV	1399706	1401214	2.759728
854648	YIL158W	YIL158W	IX	46201	46815	5.438774
854889	YML085C	YML085C	XIII	97941	99400	8.421146
854147	YOL013W-A	YOL013W-A	XV	301047	301238	10.333016
855909	YPL192C	YPL192C	XVI	182655	183056	11.305915
852192	YBL086C	YBL086C	II	61202	62602	0.29142
851682	YDR105C	YDR105C	IV	665349	666770	2.025371
853060	YGR156W	YGR156W	VII	800546	801823	4.539536
852094	YDR483W	YDR483W	IV	1421157	1422485	2.781179
853682	YKL172W	YKL172W	XI	125759	127042	6.703971
854995	YML013W	YML013W	XIII	244149	245903	8.567354
855415	YOL120C	YOL120C	XV	93395	94402	10.125364
854029	YOL120C	YOL120C	XV	93395	94402	10.125364
856827	YER092W	YER092W	V	342855	343232	3.23481
854353	YOR181W	YOR181W	XV	675939	677840	10.707908
851434	YDL123W	YDL123W	IV	241418	241840	1.60144
853111	YGR197C	YGR197C	VII	892497	894140	4.631487
854835	YIR018W	YIR018W	IX	384609	385346	5.777182
856048	YPL059W	YPL059W	XVI	444579	445031	11.567839
855883	YPL218W	YPL218W	XVI	138698	139409	11.261958
852528	YBR227C	YBR227C	II	673572	675134	0.90379
853469	YJR012C	YJR012C	X	459795	460418	6.292256
851328	YDL199C	YDL199C	IV	101290	103353	1.461312
854857	YIR039C	YIR039C	IX	430498	432111	5.823071
855264	YMR224C	YMR224C	XIII	718575	720653	9.04178
852932	YGR041W	YGR041W	VII	577487	579130	4.316477
853884	YKR014C	YKR014C	XI	465367	466071	7.043579
852801	YGL079W	YGL079W	VII	359444	360100	4.098434
850877	YLR180W	YLR180W	XII	515262	516410	7.76029
851214	YAL019W	YAL019W	I	114919	118314	0.114919
855602	YNL121C	YNL121C	XIV	398684	400537	9.64632
852519	YBR218C	YBR218C	II	658707	662249	0.888925
850952	YLR250W	YLR250W	XII	640317	641021	7.885345
853708	YKL149C	YKL149C	XI	167612	168829	6.745824
852546	YBR244W	YBR244W	II	707528	708016	0.937746
850527	YFL018C	YFL018C	VI	101628	103127	3.570457
851209	YAL024C	YAL024C	I	101565	105872	0.101565
854600	Q0080	Q0080	M	27666	27812	12.098992
24573117	Q0080	Q0080	M	27666	27812	12.098992
852771	YGL107C	YGL107C	VII	304333	306273	4.043323
855081	YMR059W	YMR059W	XIII	391099	391485	8.714304
852116	YDR505C	YDR505C	IV	1456695	1459220	2.816717
851515	YDL045W-A	YDL045W-A	IV	372248	372535	1.73227
852708	YGL168W	YGL168W	VII	187464	187796	3.926454
855094	YMR072W	YMR072W	XIII	411569	412120	8.734774
851516	YDL045C	YDL045C	IV	372688	373608	1.73271
855864	YPL264C	YPL264C	XVI	43283	44344	11.166543
852457	YBR160W	YBR160W	II	560078	560974	0.790296
855350	YMR304W	YMR304W	XIII	874987	878679	9.198192
854887	YML087C	YML087C	XIII	94431	95369	8.417636
855235	YMR195W	YMR195W	XIII	654034	654417	8.977239
851963	YDR361C	YDR361C	IV	1195412	1196263	2.555434
854755	YIL056W	YIL056W	IX	249991	251913	5.642564
852198	YBL080C	YBL080C	II	73070	74695	0.303288
854645	YIL161W	YIL161W	IX	39433	40140	5.432006
852377	YBR083W	YBR083W	II	409169	410629	0.639387
852597	YBR294W	YBR294W	II	789235	791814	1.019453
853530	YJR067C	YJR067C	X	567019	567444	6.39948
856680	YEL032W	YEL032W	V	86937	89852	2.978892
853974	YKR099W	YKR099W	XI	635851	638286	7.214063
853750	YKL110C	YKL110C	XI	228939	229880	6.807151
855903	YPL198W	YPL198W	XVI	173152	174702	11.296412
855792	YNR055C	YNR055C	XIV	728426	730186	9.976062
853611	YJR146W	YJR146W	X	703885	704238	6.536346
856101	YPL006W	YPL006W	XVI	544631	548143	11.667891
856533	YHR132C	YHR132C	VIII	368502	369794	5.198432
856290	YPR161C	YPR161C	XVI	864449	866422	11.987709
853768	YKL094W	YKL094W	XI	263349	264290	6.841561
855958	YPL145C	YPL145C	XVI	278395	279699	11.401655
855281	YMR240C	YMR240C	XIII	749930	751240	9.073135
853969	YKR094C	YKR094C	XI	617996	618750	7.196208
854658	YKR094C	YKR094C	XI	617996	618750	7.196208
851143	YLR424W	YLR424W	XII	973395	975521	8.218423
852623	YGL228W	YGL228W	VII	67598	69331	3.806588
855689	YNL039W	YNL039W	XIV	555048	556832	9.802684
855356	YMR308C	YMR308C	XIII	888952	892221	9.212157
854687	YIL119C	YIL119C	IX	136654	137877	5.529227
853095	YGR183C	YGR183C	VII	859063	859476	4.598053
852832	YGL050W	YGL050W	VII	405776	406597	4.144766
852388	YBR091C	YBR091C	II	427155	427484	0.657373
853190	YGR273C	YGR273C	VII	1038715	1039239	4.777705
854796	YIL016W	YIL016W	IX	321454	321933	5.714027
855012	YML001W	YML001W	XIII	267174	267800	8.590379
851859	YDR266C	YDR266C	IV	1000104	1002023	2.360126
856013	YPL092W	YPL092W	XVI	373793	375169	11.497053
852977	YGR086C	YGR086C	VII	649598	650617	4.388588
853594	YJR130C	YJR130C	X	665218	667137	6.497679
853932	YKR058W	YKR058W	XI	552770	554620	7.130982
1500485	YKL183C-A	YKL183C-A	XI	98395	98607	6.676607
850955	YLR253W	YLR253W	XII	642627	644336	7.887655
851565	YDR002W	YDR002W	IV	453045	453650	1.813067
852732	YGL145W	YGL145W	VII	230243	232348	3.969233
851800	YDR214W	YDR214W	IV	892875	893927	2.252897
852587	YBR284W	YBR284W	II	771239	773632	1.001457
856671	YEL040W	YEL040W	V	78053	79456	2.970008
851708	YDR130C	YDR130C	IV	715747	716622	2.075769
855772	YNR036C	YNR036C	XIV	694361	694822	9.941997
854128	YOL029C	YOL029C	XV	269815	270420	10.301784
854590	Q0160	Q0160	M	61022	61729	12.132348
851378	YDL176W	YDL176W	IV	142097	144223	1.502119
854662	YIL144W	YIL144W	IX	78074	80149	5.470647
852990	YGR098C	YGR098C	VII	682566	687458	4.421556
1466474	YOL155W-A	YOL155W-A	XV	27084	27218	10.059053
856311	YPR181C	YPR181C	XVI	897361	899667	12.020621
852964	YGR074W	YGR074W	VII	635712	636152	4.374702
852455	YBR158W	YBR158W	II	556549	558198	0.786767
851960	YDR358W	YDR358W	IV	1190059	1191732	2.550081
851107	YLR390W-A	YLR390W-A	XII	903724	904440	8.148752
852780	YGL098W	YGL098W	VII	317342	318079	4.056332
852071	YDR460W	YDR460W	IV	1383811	1384776	2.743833
855412	YNL304W	YNL304W	XIV	60297	61550	9.307933
854003	YOL161C	YOL161C	XV	11549	11911	10.043518
1466445	YBR111W-A	YBR111W-A	II	462139	462579	0.692357
853532	YJR069C	YJR069C	X	568806	569399	6.401267
856842	YER105C	YER105C	V	367838	372013	3.259793
854926	YML114C	YML114C	XIII	42043	43575	8.365248
852208	YBL071C	YBL071C	II	90223	90531	0.320441
853584	YJR120W	YJR120W	X	647126	647476	6.479587
854786	YIL026C	YIL026C	IX	304477	307929	5.69705
853253	YJL186W	YJL186W	X	80155	81915	5.912616
854597	Q0070	Q0070	M	13818	23167	12.085144
853447	YJL008C	YJL008C	X	419957	421663	6.252418
855603	YNL119W	YNL119W	XIV	401040	402521	9.648676
851604	YDR034W-B	YDR034W-B	IV	521314	521469	1.881336
850402	YCR036W	YCR036W	III	193297	194298	1.236699
855697	YNL034W	YNL034W	XIV	570477	572315	9.818113
856420	YHR025W	YHR025W	VIII	159438	160511	4.989368
853385	YJL061W	YJL061W	X	320016	322157	6.152477
855369	YMR319C	YMR319C	XIII	912880	914538	9.236085
854027	YOL122C	YOL122C	XV	89692	91419	10.121661
850934	YLR233C	YLR233C	XII	607425	609524	7.852453
851533	YDL028C	YDL028C	IV	400997	403291	1.761019
855534	YNL187W	YNL187W	XIV	287994	289067	9.53563
856657	YEL053C	YEL053C	V	53901	56102	2.945856
850427	YCR063W	YCR063W	III	228318	228791	1.27172
854426	YOR252W	YOR252W	XV	803667	804203	10.835636
851197	YAL034W-A	YAL034W-A	I	79718	80587	0.079718
856665	YEL046C	YEL046C	V	67629	68792	2.959584
854328	YOR157C	YOR157C	XV	630966	631751	10.662935
855406	YNL310C	YNL310C	XIV	51907	52431	9.299543
852783	YGL096W	YGL096W	VII	325331	326161	4.064321
1466463	YGR240C-A	YGR240C-A	VII	974577	974777	4.713567
850315	YCL042W	YCL042W	III	50584	50943	1.093986
851633	YDR061W	YDR061W	IV	574164	575783	1.934186
856877	YER137C	YER137C	V	441373	441819	3.333328
851632	YDR060W	YDR060W	IV	570649	573726	1.930671
853547	YJR085C	YJR085C	X	585120	585437	6.417581
856450	YHR055C	YHR055C	VIII	214533	214718	5.044463
856452	YHR055C	YHR055C	VIII	214533	214718	5.044463
856301	YPR171W	YPR171W	XVI	883828	885558	12.007088
856472	YHR073W	YHR073W	VIII	242582	245572	5.072512
856240	YPR122W	YPR122W	XVI	782045	785671	11.905305
853082	YGR172C	YGR172C	VII	842845	843591	4.581835
853497	YJR040W	YJR040W	X	507746	510085	6.340207
852530	YBR229C	YBR229C	II	676357	679221	0.906575
1466433	YDR169C-A	YDR169C-A	IV	794574	794723	2.154596
851965	YDR363W	YDR363W	IV	1199183	1200553	2.559205
853926	YKR052C	YKR052C	XI	532550	533464	7.110762
856014	YPL091W	YPL091W	XVI	375502	376953	11.498762
853699	YKL157W	YKL157W	XI	154991	158232	6.733203
855967	YPL137C	YPL137C	XVI	292817	296647	11.416077
852032	YDR422C	YDR422C	IV	1315326	1317773	2.675348
